alpha,avg_cbf_a_mean,avg_cbf_a_std,avg_cbf_alpha_mean,avg_cbf_alpha_std,avg_cbf_c_mean,avg_cbf_c_std,avg_cbf_phi_mean,avg_cbf_phi_std,avg_deflection_mean,avg_deflection_std,avg_h_mean,avg_h_min,avg_qp_active_rate,avg_u_safe_clamp_rate,checkpoint,collision_rate,fall_rate,frac_steps_close,goal_reach_rate,infeasibility_rate,mean_dist_traveled,mean_final_displacement,mean_h,mean_min_h,mean_phi_used,mean_start_latency,mean_time_to_goal,mean_v_along_cmd,mean_v_xy,mode,n_episodes,name,path_efficiency,phi,stuck_rate,timeout_rate
0.5,0.0,0.0,0.4999999701976776,0.0,0.0,0.0,0.004999935626983643,0.0,0.1850612593625847,0.25796065128478224,0.332145229190588,0.018425163865089418,0.474734375,0.0,,0.0,0.24615384615384617,0.094578125,0.8461538461538461,0.0,6.42420189334796,3.5145892418347873,0.33205382665991784,0.17802979671038113,0.004999935626983643,13.8125,163.63636363636363,0.15158153091638815,0.3783964340239763,B0,65,B0_α=0.50,0.6692408636396139,,0.2,0.7538461538461538
2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.004999935626983643,0.0,0.14086700474098324,0.23584101058915258,0.25652720822393893,0.026979900002479552,0.360734375,0.0,,0.0,0.2923076923076923,0.107015625,0.8,0.0,6.291695937055808,3.3811421379446984,0.256412682980299,0.06700367193955642,0.004999935626983643,11.09375,146.23076923076923,0.17040590296944244,0.3813821498043835,B0,65,B0_α=2.00,0.6422575437133734,,0.23076923076923078,0.7076923076923077
4.0,0.0,0.0,3.999999761581421,0.0,0.0,0.0,0.004999935626983643,0.0,0.07551673013612162,0.17241461439523845,0.30832875618338584,0.022124962806701662,0.20884375,0.0,,0.0,0.2537313432835821,0.11128125,0.8955223880597015,0.0,7.05911734744684,4.024348753156946,0.3081865469068289,0.12723536811657807,0.004999935626983643,11.584615384615384,150.3,0.1663349784430924,0.4258334149233997,B0,67,B0_α=4.00,0.635478621785576,,0.14925373134328357,0.746268656716418
0.5,0.0,0.0,0.4999999701976776,0.0,0.0,0.0,0.4999999701976776,0.0,0.2664514986512149,0.3209409548964468,0.29537024158239367,0.03583009475469589,0.556,0.0,,0.0,0.2923076923076923,0.0539375,0.9076923076923077,0.0,6.687860549413241,3.9017442380006497,0.2951552252322435,0.10886949759263259,0.4999999701976776,10.84375,166.98305084745763,0.18273868194618262,0.3855271713212132,B1,65,B1_α=0.50_φ=0.50,0.6293539073553154,0.5,0.15384615384615385,0.7076923076923077
0.5,0.0,0.0,0.4999999701976776,0.0,0.0,0.0,2.0,0.0,0.5113072819221416,0.4432437899233773,0.37552098095417025,0.028666805684566497,0.70959375,0.0,,0.0,0.3582089552238806,0.043421875,0.8059701492537313,0.0,5.685464624593507,3.4467157982845804,0.37545807275176046,0.16978672280240414,2.0,23.615384615384617,179.59259259259258,0.16977130394052883,0.36367342313751577,B1,67,B1_α=0.50_φ=2.00,0.6298191118187134,2.0,0.1044776119402985,0.6417910447761194
2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4999999701976776,0.0,0.15469514783326305,0.25679402394685896,0.2601471039056778,0.028396829664707184,0.356609375,0.0,,0.0,0.2835820895522388,0.080546875,0.8955223880597015,0.0,6.4991230964660645,3.694781143718691,0.26000427167117596,0.080058502617167,0.4999999701976776,10.985074626865671,139.68333333333334,0.1653638242734596,0.3970834163278341,B1,67,B1_α=2.00_φ=0.50,0.6275602164600532,0.5,0.08955223880597014,0.7164179104477612
2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3023810931717744,0.3905261354232207,0.3268171898126602,0.019580491304397582,0.493859375,0.0,,0.0,0.34782608695652173,0.083234375,0.8695652173913043,0.0,6.833325002504432,3.9901553245558254,0.3266508542895317,0.1541975814363231,2.0,11.544117647058824,148.76666666666668,0.17560537578793542,0.4217212389521301,B1,69,B1_α=2.00_φ=2.00,0.6125974938314134,2.0,0.057971014492753624,0.6521739130434783
4.0,0.0,0.0,3.999999761581421,0.0,0.0,0.0,0.4999999701976776,0.0,0.09927188111920258,0.20828917471226305,0.33199415153265,0.02587480592727661,0.261703125,0.0,,0.0,0.2537313432835821,0.1098125,0.8656716417910447,0.0,6.99139499842231,3.6198915954846056,0.33176213842630387,0.17254947014709018,0.4999999701976776,16.895522388059703,165.94827586206895,0.1473433197066188,0.42330538849160076,B1,67,B1_α=4.00_φ=0.50,0.6089297300543617,0.5,0.05970149253731343,0.746268656716418
4.0,0.0,0.0,3.999999761581421,0.0,0.0,0.0,2.0,0.0,0.23427831107200472,0.3737767136550974,0.3100322458744049,0.015765759110450743,0.396140625,0.0,,0.0,0.42028985507246375,0.101390625,0.8695652173913043,0.0,6.778006547603054,3.830528339182121,0.3099128079563379,0.10814818869466367,2.0,11.347826086956522,138.15,0.17820570428739302,0.45011736803501845,B1,69,B1_α=4.00_φ=2.00,0.6457991658422376,2.0,0.10144927536231885,0.5797101449275363
,0.0,0.0,2.8822577209472655,1.6901790093779563,0.0,0.0,1.4990463569164276,1.3338007051944734,0.18949594527480076,0.3865684306214098,0.3548183922469616,0.026229497075080873,0.308625,0.00428125,logs/rsl_rl/cbf_go2_teacher_rma/2026-05-14_00-24-44/model_1499.pt,0.0,0.38461538461538464,0.0631875,0.8615384615384616,0.0,7.456427716291868,3.968773367313238,0.35469215974211693,0.11978411491100605,1.8155813348293304,11.46875,151.75,0.17401566509623081,0.46825317288935187,BR,65,BR_teacher,0.5836637444591379,,0.046153846153846156,0.6153846153846154
